Designator,Mid X,Mid Y,Layer,Rotation
C12,128.776001,-97.371429,bottom,90
C13,116.173801,-110.201029,bottom,0
C14,120.373801,-112.591229,bottom,-90
C28,149.149401,-103.664029,bottom,90
C29,150.292401,-103.664029,bottom,90
C33,151.435401,-103.664029,bottom,90
C35,147.546601,-107.841429,bottom,-90
C38,152.578401,-103.664029,bottom,90
C41,146.048001,-31.053729,bottom,90
C43,145.819401,-55.007629,bottom,-90
C55,137.287,-32.243129,bottom,-90
C57,124.333,-119.281,bottom,90
C58,120.8252,-121.92,bottom,0
C59,118.6662,-117.475,bottom,0
C60,118.6662,-118.618,bottom,0
C63,118.138,-94.0308,bottom,0
D5,138.768401,-63.198629,bottom,90
D6,143.295401,-37.658629,bottom,0
D7,146.200401,-73.345629,bottom,90
FB2,151.596801,-108.169029,bottom,180
FB3,151.596801,-105.883029,bottom,180
J21,116.078,-91.400429,bottom,0
J22,150.0886,-90.5764,bottom,0
L5,122.174,-117.819,bottom,90
Q2,131.947301,-57.851629,bottom,90
Q4,131.947301,-50.688129,bottom,90
Q6,125.470301,-57.851629,bottom,90
Q8,125.457601,-50.688129,bottom,90
Q9,142.136401,-30.584729,bottom,180
Q10,149.375401,-40.111629,bottom,90
Q11,142.825401,-44.786629,bottom,-90
Q12,144.168401,-61.788629,bottom,90
R5,120.373801,-114.608229,bottom,-90
R22,139.192,-32.243129,bottom,90
R29,145.870401,-76.723829,bottom,0
R32,118.6662,-119.761,bottom,0
R33,118.6662,-120.904,bottom,180
U2,122.458001,-97.552029,bottom,0
U4,128.515401,-64.550629,bottom,180
U9,121.0952,-120.261,bottom,180
Y1,117.243801,-112.679829,bottom,180
C1,126.478001,-99.331029,top,-90
C2,126.928001,-96.692029,top,0
C3,126.928001,-97.835029,top,0
C4,127.621001,-99.331029,top,-90
C5,128.764001,-99.331029,top,90
C6,129.907001,-99.331029,top,90
C7,131.050001,-99.331029,top,90
C8,132.193001,-99.331029,top,90
C9,133.336001,-99.331029,top,90
C10,134.479001,-99.331029,top,90
C11,135.622001,-99.331029,top,90
C15,125.1996,-117.3594,top,0
C16,123.848401,-64.516629,top,90
C17,142.071734,-42.803629,top,-90
C18,145.712401,-42.803629,top,-90
C19,147.597401,-42.803629,top,-90
C20,124.5366,-120.1394,top,-90
C21,147.625401,-107.841429,top,90
C22,151.673401,-103.214029,top,180
C23,137.084401,-112.0556,top,-90
C24,138.227401,-112.0556,top,-90
C25,135.151401,-100.898029,top,180
C26,135.151401,-101.914029,top,180
C27,135.151401,-103.057029,top,180
C30,139.370401,-112.0556,top,-90
C31,135.151401,-104.200029,top,180
C32,135.151401,-105.355029,top,180
C34,142.083001,-114.554,top,180
C36,140.513401,-112.0556,top,-90
C37,135.151401,-106.486029,top,180
C40,141.29,-33.655,top,180
C42,148.463,-28.194,top,90
C44,138.580401,-39.150629,top,180
C45,152.273,-31.049,top,-90
C46,121.158,-91.412,top,-90
C47,122.809,-91.412,top,-90
C48,133.321999,-91.428185,top,-90
C49,132.992401,-67.757629,top,180
C50,142.263401,-68.379629,top,-90
C51,131.191,-91.186,top,-90
C52,145.692401,-49.939,top,-90
C54,139.469401,-63.665629,top,-90
C62,126.873,-123.4764,top,90
C64,118.138,-45.832829,top,0
C65,152.118,-42.926,top,180
C66,152.118,-43.942,top,180
C67,152.042401,-27.499929,top,90
D1,128.420401,-65.376629,top,90
D4,137.818401,-29.972,top,-90
FB1,135.306401,-112.7956,top,90
J1,134.386501,-122.684429,top,0
J2,125.388401,-35.012629,top,-90
J10,116.064001,-98.892029,top,90
L1,141.732,-32.589,top,90
L3,138.5325,-46.876,top,0
L4,126.365,-87.061629,top,0
Q1,131.938301,-57.851629,top,-90
Q3,131.938301,-50.688129,top,-90
Q5,125.461301,-57.851629,top,-90
Q7,125.461301,-50.688129,top,-90
Q13,138.887501,-87.061629,top,180
Q14,133.5255,-87.077814,top,180
R1,124.121001,-96.212029,top,-90
R2,125.341001,-96.212029,top,-90
R3,119.101201,-99.456829,top,0
R6,138.593401,-37.228629,top,180
R7,143.892067,-42.816629,top,-90
R9,140.251401,-42.816629,top,-90
R10,145.692401,-46.040629,top,90
R11,120.140001,-45.382829,top,-90
R12,121.206801,-45.382829,top,-90
R13,140.990801,-113.538,top,0
R14,147.625401,-109.816029,top,-90
R16,149.149401,-103.664029,top,-90
R18,150.713401,-104.356029,top,180
R19,147.752401,-96.862029,top,90
R21,140.462,-30.874,top,90
R23,148.336,-31.623,top,-90
R24,146.327401,-53.437629,top,0
R25,148.093001,-40.513,top,0
R26,150.114,-32.949,top,-90
R27,148.093001,-38.735,top,0
R28,145.034,-68.8955,top,90
R30,148.095,-36.957,top,0
R31,138.326401,-63.665629,top,-90
R34,138.593401,-35.577629,top,180
R36,128.778,-123.4564,top,90
T1,140.866401,-57.597629,top,-90
TR1,139.474801,-80.678629,top,180
U1,123.531001,-104.829029,top,0
U3,143.025401,-37.900629,top,0
U5,119.3296,-119.6594,top,90
U6,142.263401,-104.105029,top,90
U7,144.963901,-96.387029,top,0
Y2,150.771801,-106.909429,top,0
