"#","Comment","Reference","Packaging","Qty"
"1","C2897613 50V 220pF 10% 0603 Capacitor","C18","0603","1"
"2","C5182463 50V 3300pF 10% 0603 Capacitor","C19","0603","1"
"3","100V 10uF 10% Aluminum Electrolytic Capacitors - SMD","C41","","1"
"4","C6119935 100V 2.2uF 10% 0805 Capacitor","C42","0805","1"
"5","C967584 1kV 100pF 5% 0805 Capacitor","C45","0805","1"
"6","C342307 25V 33uF 20% 1206 Capacitor","C48","1206","1"
"7","C1620 50V 470pF 10% 0603 Capacitor","C50","0603","1"
"8","C915853 50V 2200pF 10% 0402 Capacitor","C54","0402","1"
"9","C7503490 100V 0.01uF 10% 0805 Capacitor","C55","0805","1"
"10","C7503499 50V 4700pF 10% 0603 Capacitor","C62","0603","1"
"11","C1823 50V 50pF 10% 0805 Capacitor","C67","0805","1"
"12","C1518208 50V 1uF 10% 0402 Capacitor","C1,C4,C51,C52,C63,C64,C65,C66","0402","8"
"13","C1548 50V 15pF 5% 0402 Capacitor","C13,C14","0402","2"
"14","C77000 10V 10uF 20% 0402 Capacitor","C15,C20,C44","0402","3"
"15","C5186810 100V 0.047uF 10% 0805 Capacitor","C16,C40","0805","2"
"16","C1525 16V 0.1uF 10% 0402 Capacitor","C2,C3,C5,C6,C7,C8,C9,C10,C11,C12,C17,C23,C24,C25,C26,C27,C28,C29,C58","0402","19"
"17","C1545 50V 10pF 5% 0402 Capacitor","C21,C22","0402","2"
"18","C7503510 10V 4700pF 10% 0402 Capacitor","C30,C31,C32,C33,C34,C35","0402","6"
"19","C284989 50V 1500pF 10% 0402 Capacitor","C36,C37,C38","0402","3"
"20","C41018 2kV 2200pF 10% 1206 Capacitor","C43,C49","1206","2"
"21","C96446 25V 10uF 20% 0603 Capacitor","C46,C47,C57","0603","3"
"22","C45783 25V 22uF 20% 0805 Capacitor","C59,C60","0805","2"
"23","C10769 SMAJ24A 10.3A 38.9V 26.7V 24V","D1","DO-214AC","1"
"24","PTVS58VP1UTP","D4","SOD-128","1"
"25","BAS21_R1_00001","D5","TSOT-23","1"
"26","C5186013 BAT54W","D6","SOT-323","1"
"27","BAT46W-E3-18","D7","SOD-123","1"
"28","C88990 100mΩ ±25% 120Ω@100MHz 0805 Ferrite Beads","FB1,FB2,FB3","0805 ","3"
"29","10103594-0001LF","J1","","1"
"30","7499211123A","J2","","1"
"31","C706874 Single Row Vertical 2.54mm 1x2P Pin Header","J10","","1"
"32","C19184369 Double Row Vertical 2.54mm 2x18P Pin Header","J21,J22","","2"
"33","DO1608C-103MLC Power Inductors - SMD 10uH Shld 20% 1.5A 160mOhms ","L1","","1"
"34","DO1608C-104","L3","","1"
"35","DO1813P-181HC General Purpose Inductor, 0.18uH, 20%, 1 Element, SMD, 3524","L4","","1"
"36","CIGT201610EH2R2MNE","L5","","1"
"37","FMMT723QTA","Q10","TSOT-23","1"
"38","BSZ900N20NS3GATMA1","Q11","","1"
"39","TPN1600ANH,L1Q","Q12","","1"
"40","C7420354 MMBT3906","Q13","SOT-23","1"
"41","C7420353 MMBT3904","Q14","SOT-23","1"
"42","C478016 PSMN075-100MSEX","Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","","9"
"43","C25195 100mW Thick Film Resistors 75V 37.4Ω 1% 0603 Resistor","R6","0603","1"
"44","C23234 100mW Thick Film Resistors 75V 7.5kΩ 1% 0603 Resistor","R7","0603","1"
"45","C14889 100mW Thick Film Resistors 75V 107kΩ 1% 0603 Resistor","R9","0603","1"
"46","C23356 100mW Thick Film Resistors 75V 26.1kΩ 1% 0603 Resistor","R10","0603","1"
"47","C17168 62.5mW Thick Film Resistors 50V 0Ω 1% 0402 Resistor","R16","0402","1"
"48","C23247 100mW Thick Film Resistors 75V 8.2Ω 1% 0603 Resistor","R21","0603","1"
"49","C22978 100mW Thick Film Resistors 75V 3.3kΩ 1% 0603 Resistor","R22","0603","1"
"50","C22950 100mW Thick Film Resistors 75V 20Ω 1% 0603 Resistor","R23","0603","1"
"51","C3016441 100mW Thick Film Resistors 75V 6.65kΩ 1% 0603 Resistor","R24","0603","1"
"52","C22975 100mW Thick Film Resistors 75V 2kΩ 1% 0603 Resistor","R25","0603","1"
"53","C441975 500mW Thick Film Resistors 100Ω 5% 0805 Resistor","R26","0805","1"
"54","C2767472 250mW Thick Film Resistors 25mΩ  5% 0805 Resistor","R27","0805","1"
"55","C422425 1/2W Thick Film Resistors 11Ω 1% 1210 Resistor","R28","1210","1"
"56","C22810 100mW Thick Film Resistors 75V 15Ω 1% 0603 Resistor","R29","0603","1"
"57","C22775 100mW Thick Film Resistors 75V 100Ω 1% 0603 Resistor","R30","0603","1"
"58","C26982 62.5mW Thick Film Resistors 50V 52.3kΩ 1% 0402 Resistor","R32","0402","1"
"59","C21190 100mW Thick Film Resistors 75V 1kΩ 1% 0603 Resistor","R34","0603","1"
"60","C7250 100mW Thick Film Resistors 75V 10MΩ 1% 0603 Resistor","R36","0603","1"
"61","C284479 62.5mW Thick Film Resistors 50V 27.4Ω 1% 0402 Resistor","R1,R2","0402","2"
"62","C25104 62.5mW Thick Film Resistors 50V 330Ω 1% 0402 Resistor","R11,R12","0402","2"
"63","C102781 62.5mW Thick Film Resistors 50V 12kΩ 1% 0402 Resistor","R13,R14,R19","0402","3"
"64","C60490 62.5mW Thick Film Resistors 50V 10kΩ 1% 0402 Resistor","R20,R31,R33","0402","3"
"65","C106235 62.5mW Thick Film Resistors 50V 1kΩ 1% 0402 Resistor","R3,R5,R18","0402","3"
"66","PE-68386NL","T1","","1"
"67","750316115","TR1","","1"
"68","C2040 RP2040","U1","QFN-56-1EP","1"
"69","W25Q128JVS","U2","SOIC-8","1"
"70","LT4295IUFD#PBF","U3","","1"
"71","LT4321HUF#PBF","U4","QFN-16-1EP","1"
"72","NCP1117ST33T3G","U5","SOT-223","1"
"73","LAN9500A-ABZJ-TR","U6","QFN-56-1EP","1"
"74","93AA46AT-I/OT","U7","SOT-23-6","1"
"75","AP62250Z6","U9","SOT-563","1"
"76","ABM8-272-T3","Y1","","1"
"77","ABM8G-25.000MHZ-4Y-T3","Y2","","1"
